,Unnamed: 0,reviews,sentiment,sentiment score,Sentiment
0,0,great camera,Positive,0.6249,1
1,1,life good,Positive,0.4404,1
2,2,use use,Neutral,0.0,0
3,3,time full,Neutral,0.0,0
4,4,full day,Neutral,0.0,0
5,5,hours sot,Neutral,0.0,0
6,6,dayperformance top,Positive,0.2023,1
7,7,great device,Positive,0.6249,1
8,8,great display,Positive,0.6249,1
9,9,camera great,Positive,0.6249,1
10,10,good lighting,Positive,0.4404,1
11,11,quality great,Positive,0.6249,1
12,12,red colour,Neutral,0.0,0
13,13,superb.8 portrait,Neutral,0.0,0
14,14,go nothing,Neutral,0.0,0
15,15,classy look,Positive,0.4404,1
16,16,benchmark disappointed,Negative,-0.4767,-1
17,17,recommend phone,Positive,0.3612,1
18,18,oriented game,Neutral,0.0,0
19,19,looks performance,Neutral,0.0,0
20,20,life good,Positive,0.4404,1
21,21,second iphone,Neutral,0.0,0
22,22,time android,Neutral,0.0,0
23,23,phone prospective,Neutral,0.0,0
24,24,photo video,Neutral,0.0,0
25,25,enthusiasts reliable,Positive,0.34,1
26,26,camera fast,Neutral,0.0,0
27,27,excellent picture,Positive,0.5719,1
28,28,professional quality,Neutral,0.0,0
29,29,worth price,Positive,0.2263,1
30,30,ios fan-,Positive,0.3182,1
31,31,phone- want,Positive,0.0772,1
32,32,camera unbeatable,Neutral,0.0,0
33,33,multitask normal,Neutral,0.0,0
34,34,apps keep,Neutral,0.0,0
35,35,hiatus lag,Negative,-0.34,-1
36,36,listen music,Neutral,0.0,0
37,37,movie 4d-5d,Neutral,0.0,0
38,38,lot technical,Neutral,0.0,0
39,39,want get,Positive,0.0772,1
40,40,nice camera,Positive,0.4215,1
41,41,good experience,Positive,0.4404,1
42,42,hours screen,Neutral,0.0,0
43,43,time positive,Positive,0.5574,1
44,44,poor battery,Negative,-0.4767,-1
45,45,good image,Positive,0.4404,1
46,46,amazing experience,Positive,0.5859,1
47,47,capacity little,Neutral,0.0,0
48,48,.. worth,Positive,0.2263,1
49,49,apple first,Neutral,0.0,0
50,50,phone ultra,Neutral,0.0,0
51,51,first camera,Neutral,0.0,0
52,52,indoor display,Neutral,0.0,0
53,53,size easy,Positive,0.4404,1
54,54,excellent grip,Positive,0.5719,1
55,55,worst thing,Negative,-0.6249,-1
56,56,battery last,Neutral,0.0,0
57,57,long better,Positive,0.4404,1
58,58,bank avoid,Negative,-0.296,-1
59,59,sudden switch,Neutral,0.0,0
60,60,new iphone,Neutral,0.0,0
61,61,usage week,Neutral,0.0,0
62,62,quality excellent,Positive,0.5719,1
63,63,phone good,Positive,0.4404,1
64,64,durable aluminum,Neutral,0.0,0
65,65,talk battery,Neutral,0.0,0
66,66,smoother xr,Neutral,0.0,0
67,67,xr battery,Neutral,0.0,0
68,68,a13 bionic,Neutral,0.0,0
69,69,chip touch,Neutral,0.0,0
70,70,haptics many,Neutral,0.0,0
71,71,beast segment,Neutral,0.0,0
72,72,feel beast,Neutral,0.0,0
73,73,perfect masterpiece.read,Positive,0.5719,1
74,74,awesome pair,Positive,0.6249,1
75,75,speaker good,Positive,0.4404,1
76,76,looks beautiful,Positive,0.5994,1
77,77,perfect size,Positive,0.5719,1
78,78,user experience,Neutral,0.0,0
79,79,battery aware,Neutral,0.0,0
80,80,casual usage,Positive,0.2023,1
81,81,onscreen time,Neutral,0.0,0
82,82,performance good,Positive,0.4404,1
83,83,inch display,Neutral,0.0,0
84,84,phone handy,Neutral,0.0,0
85,85,capacity good,Positive,0.4404,1
86,86,phone good,Positive,0.4404,1
87,87,dual sim,Neutral,0.0,0
88,88,main reason,Neutral,0.0,0
89,89,compact phone,Neutral,0.0,0
90,90,decent camera,Neutral,0.0,0
91,91,adequate day,Positive,0.2263,1
92,92,screen body,Neutral,0.0,0
93,93,beautiful iphone,Positive,0.5994,1
94,94,camera handy,Neutral,0.0,0
95,95,white color,Neutral,0.0,0
96,96,soo good,Positive,0.4404,1
97,97,big screen,Neutral,0.0,0
98,98,premium😍 battery,Positive,0.4588,1
99,99,battery sufficient,Neutral,0.0,0
100,100,days usage,Neutral,0.0,0
101,101,lots game,Neutral,0.0,0
102,102,pubg14hrs normal,Neutral,0.0,0
103,103,fine mobile,Positive,0.2023,1
104,104,consumption 8-10,Neutral,0.0,0
105,105,mins phone,Neutral,0.0,0
106,106,faster consumption,Neutral,0.0,0
107,107,regular battery,Neutral,0.0,0
108,108,look nice,Positive,0.4215,1
109,109,powerful phone,Positive,0.4215,1
110,110,month usage.1,Neutral,0.0,0
111,111,phone awesome,Positive,0.6249,1
112,112,etc.2 battery,Neutral,0.0,0
113,113,phone good,Positive,0.4404,1
114,114,day full,Neutral,0.0,0
115,115,day usage,Neutral,0.0,0
116,116,apps photos,Neutral,0.0,0
117,117,phone moderate,Neutral,0.0,0
118,118,battery point,Neutral,0.0,0
119,119,day heavy,Neutral,0.0,0
120,120,usage moderate,Neutral,0.0,0
121,121,small phone,Neutral,0.0,0
122,122,big screen,Neutral,0.0,0
123,123,phone awesome,Positive,0.6249,1
124,124,se nice,Positive,0.4215,1
125,125,use single,Neutral,0.0,0
126,126,handy mobile,Neutral,0.0,0
127,127,go apple,Neutral,0.0,0
128,128,frequent apple,Neutral,0.0,0
129,129,much difference,Neutral,0.0,0
130,130,chip super,Positive,0.5994,1
131,131,smartphone get,Neutral,0.0,0
132,132,comments camera,Neutral,0.0,0
133,133,moments se2,Neutral,0.0,0
134,134,phone optical,Neutral,0.0,0
135,135,variant good,Positive,0.4404,1
136,136,pure android,Neutral,0.0,0
137,137,little time,Neutral,0.0,0
138,138,decent battery,Neutral,0.0,0
139,139,phone somewhat,Neutral,0.0,0
140,140,capacity.camera amazing,Positive,0.5859,1
141,141,tone natural,Positive,0.3612,1
142,142,power great,Positive,0.6249,1
143,143,single hand,Positive,0.4939,1
144,144,day available,Neutral,0.0,0
145,145,india great,Positive,0.6249,1
146,146,big fan,Positive,0.3182,1
147,147,deep apple,Neutral,0.0,0
148,148,ecosystem ipad,Neutral,0.0,0
149,149,old ipod,Neutral,0.0,0
150,150,different iphone,Neutral,0.0,0
151,151,difference previous,Neutral,0.0,0
152,152,noticeable camera,Neutral,0.0,0
153,153,previous phone,Neutral,0.0,0
154,154,slow motion,Neutral,0.0,0
155,155,screen battery,Neutral,0.0,0
156,156,life ok,Positive,0.296,1
157,157,days order,Neutral,0.0,0
158,158,line powerful,Positive,0.4215,1
159,159,performance compact,Neutral,0.0,0
160,160,design affordable,Neutral,0.0,0
161,161,functionality previous,Neutral,0.0,0
162,162,phone.pros powerful,Positive,0.4215,1
163,163,chip affordable,Neutral,0.0,0
164,164,back experience,Neutral,0.0,0
165,165,powerful camera,Positive,0.4215,1
166,166,a13 bionic,Neutral,0.0,0
167,167,power personally,Neutral,0.0,0
168,168,personal ask,Neutral,0.0,0
169,169,processor new,Neutral,0.0,0
170,170,enjoyable use,Positive,0.4404,1
171,171,brilliant performance,Positive,0.5859,1
172,172,small screen,Neutral,0.0,0
173,173,battery average,Neutral,0.0,0
174,174,handy phone,Neutral,0.0,0
175,175,camera bit,Neutral,0.0,0
176,176,good stability,Positive,0.4404,1
177,177,good camera,Positive,0.4404,1
178,178,quality good,Positive,0.4404,1
179,179,pictures sharp,Neutral,0.0,0
180,180,good performance,Positive,0.4404,1
181,181,good performance,Positive,0.4404,1
182,182,honest advice,Positive,0.5106,1
183,183,videos buying,Neutral,0.0,0
184,184,small way,Neutral,0.0,0
185,185,troublesome while.3,Negative,-0.5106,-1
186,186,fast charger,Neutral,0.0,0
187,187,experience amazing,Positive,0.5859,1
188,188,sleek design,Neutral,0.0,0
189,189,beauty.i give,Neutral,0.0,0
190,190,want iphone2,Positive,0.0772,1
191,191,small screen,Neutral,0.0,0
192,192,purpose entertainment4,Neutral,0.0,0
193,193,want pair,Positive,0.0772,1
194,194,second thought.why,Neutral,0.0,0
195,195,drain low,Negative,-0.2732,-1
196,196,old se,Neutral,0.0,0
197,197,.camera awesome,Positive,0.6249,1
198,198,hours moderate,Neutral,0.0,0
199,199,usage display,Neutral,0.0,0
200,200,touch id,Neutral,0.0,0
201,201,ryt choice,Neutral,0.0,0
202,202,neat n,Positive,0.4588,1
203,203,top notch,Positive,0.2023,1
204,204,efficency top,Positive,0.2023,1
205,205,ipad buy,Neutral,0.0,0
206,206,mins phone,Neutral,0.0,0
207,207,charger 0-80,Neutral,0.0,0
